state,model,MSE,MAE,MAPE
Florida,Covid19Sim-Simulator,1934488267.8735468,16869.32542780977,315.0312000689192
Georgia,Covid19Sim-Simulator,101208854.53472024,3808.940496561808,113.3390066631259
Hawaii,Covid19Sim-Simulator,5173.601201313574,28.04705989676018,113.80879890527319
Iowa,Covid19Sim-Simulator,1596293.3704210464,514.3803366770877,64.00436189812356
Idaho,Covid19Sim-Simulator,2964027.568601599,633.090218041058,468.4818276821977
Illinois,Covid19Sim-Simulator,2398104.662796288,692.8965246288478,9.325502019852964
Indiana,Covid19Sim-Simulator,997578.2082206069,426.7805636447717,15.02087465096633
Kansas,Covid19Sim-Simulator,1746628.5122434895,493.64711277914034,153.81525864063215
Kentucky,Covid19Sim-Simulator,406344.9166203675,253.42955197542463,37.50748394925682
Louisiana,Covid19Sim-Simulator,29831389.23547076,2057.2822972476533,56.532062574515216
Massachusetts,Covid19Sim-Simulator,132973.85983652272,254.42589289577813,3.0704645243784023
Maryland,Covid19Sim-Simulator,134699.0219446117,182.1826571794464,5.465538600573694
Maine,Covid19Sim-Simulator,2092.2176073405944,19.92058547128043,17.151349607405965
Michigan,Covid19Sim-Simulator,1607989.5128847626,519.9962743625572,8.177675394065755
Minnesota,Covid19Sim-Simulator,664158.3121658545,354.76566046048384,22.425335704666008
Missouri,Covid19Sim-Simulator,2044472.3018776423,580.0103777642756,49.86219463714986
Mississippi,Covid19Sim-Simulator,3879499.881526042,805.1475444771995,57.58508813308971
Montana,Covid19Sim-Simulator,72742.4627412288,100.48116653887038,239.62491305773776
North Carolina,Covid19Sim-Simulator,16946131.76755654,1645.7180552421353,95.79052847761746
North Dakota,Covid19Sim-Simulator,15938.656742948859,43.729633421676674,45.531295385014694
Nebraska,Covid19Sim-Simulator,72096.81916323655,110.3472993281616,36.07602078987082
New Hampshire,Covid19Sim-Simulator,2631.5124790555356,32.95906950972216,8.68404158518256
New Jersey,Covid19Sim-Simulator,1970649.1204673701,937.0846690517778,6.090797514301388
New Mexico,Covid19Sim-Simulator,312039.0758305693,233.94891000812095,40.107428123632516
Nevada,Covid19Sim-Simulator,10770540.109315898,1258.2929838148677,181.2181367656476
New York,Covid19Sim-Simulator,1726300.8995439985,793.8733010999002,2.451256151714906
Ohio,Covid19Sim-Simulator,10174649.039499782,1274.1946638193792,39.625677259707174
Oklahoma,Covid19Sim-Simulator,3310520.299741884,698.3860382433049,146.83438199758487
Oregon,Covid19Sim-Simulator,694098.7813345076,331.31948219010144,122.8402399473099
Pennsylvania,Covid19Sim-Simulator,3004982.9395719403,817.7803805769668,11.675853598019717
Puerto Rico,Covid19Sim-Simulator,57939.74525351789,92.30369724751908,48.74444195398374
Rhode Island,Covid19Sim-Simulator,13961.074412721084,72.18515616274863,7.4847557710710335
South Carolina,Covid19Sim-Simulator,37539827.57118054,2412.979673533554,187.50495650045508
South Dakota,Covid19Sim-Simulator,11586.927479439832,47.580825463766104,40.71539717730176
Tennessee,Covid19Sim-Simulator,22718224.84879933,1787.6646956779898,196.98686741927634
Texas,Covid19Sim-Simulator,886402588.342505,11442.678258738424,257.04674993491966
Utah,Covid19Sim-Simulator,2742885.088869349,655.9408934342393,256.7947092093015
Virginia,Covid19Sim-Simulator,831120.130276378,381.88717920714225,18.889459199984497
Vermont,Covid19Sim-Simulator,110.85156329553034,4.731703915750716,8.450625237224767
Washington,Covid19Sim-Simulator,3179175.4190559587,707.6201259968545,48.15058798679091
Wisconsin,Covid19Sim-Simulator,2172575.155278921,537.577297261666,61.53589258362664
West Virginia,Covid19Sim-Simulator,108155.02266311206,115.49849585503324,113.25489277223183
Wyoming,Covid19Sim-Simulator,16083.73539616109,49.377017997051745,204.0321251619685
US,CovidAnalytics-DELPHI,14411155217.01146,53870.278125,37.869207612931135
Alaska,CovidAnalytics-DELPHI,4433.095098039215,25.765686274509804,136.52442856227458
Alabama,CovidAnalytics-DELPHI,12104517.390196078,1511.5392156862745,113.43614752174923
Arkansas,CovidAnalytics-DELPHI,2628606.095098039,708.7872549019608,193.87756409453695
Arizona,CovidAnalytics-DELPHI,121089621.93039215,4892.52843137255,173.3183878598105
