state,model,MSE,MAE,MAPE
Ohio,Covid19Sim-Simulator,27767.294828388578,122.44253834604446,4.0776867316899805
Oklahoma,Covid19Sim-Simulator,815.3838157779068,20.41756195467265,4.5492486988805565
Oregon,Covid19Sim-Simulator,855.7416178576512,20.803891936698225,8.416211594114303
Pennsylvania,Covid19Sim-Simulator,104972.98059079435,224.2182461580644,3.314620250012429
Puerto Rico,Covid19Sim-Simulator,119.97914869761874,8.562114504455984,5.071449807051203
Rhode Island,Covid19Sim-Simulator,6535.3429436235465,44.70958843404449,4.767644787013912
South Carolina,Covid19Sim-Simulator,38138.93159319333,127.90471026678506,11.708790923311945
South Dakota,Covid19Sim-Simulator,93.36708774762084,8.460679484389784,7.802898994036501
Tennessee,Covid19Sim-Simulator,9592.901489366981,72.40571924618807,9.241803039434929
Texas,Covid19Sim-Simulator,388022.88354223396,424.7890373586053,10.62758885533153
Utah,Covid19Sim-Simulator,1707.887424252564,35.2545671683992,15.132651876220118
Virginia,Covid19Sim-Simulator,7608.711417495695,74.9744939930802,4.002617353156031
Vermont,Covid19Sim-Simulator,2.97052900644679,1.236995464223369,2.210266757442348
Washington,Covid19Sim-Simulator,4388.017677678031,48.83547575979263,3.482131027629673
Wisconsin,Covid19Sim-Simulator,1481.6724380226863,32.52636316679605,4.036011587179754
West Virginia,Covid19Sim-Simulator,25.08339537233556,4.191916899499884,4.297529302121613
Wyoming,Covid19Sim-Simulator,5.22813669212678,1.9704137539058388,8.722046709259159
Alaska,CovidActNow-SEIR_CAN,524.4387305279273,14.82352546342031,88.14081537930598
Alabama,CovidActNow-SEIR_CAN,7081.657699147729,76.01149476785504,7.415602294848997
Arkansas,CovidActNow-SEIR_CAN,14393.195175633478,89.57994135470194,29.865780712737244
Arizona,CovidActNow-SEIR_CAN,188901.97598453076,269.74436403619745,12.183887588079953
California,CovidActNow-SEIR_CAN,2712389.0121233608,1244.5088447057765,18.380874890397486
Colorado,CovidActNow-SEIR_CAN,3396.7072396596573,48.4086923737095,2.8998208234206455
Connecticut,CovidActNow-SEIR_CAN,4709.0776212780665,46.89917264442263,1.1027194137210183
Delaware,CovidActNow-SEIR_CAN,998.1613241958021,23.23176999290484,4.815057179729392
Florida,CovidActNow-SEIR_CAN,1080529.8039608058,563.138679667583,12.097294146833793
Georgia,CovidActNow-SEIR_CAN,362048.8590867465,356.0230391091744,11.513643538259927
Hawaii,CovidActNow-SEIR_CAN,154.36622536304566,6.852166928732588,32.86256588045524
Iowa,CovidActNow-SEIR_CAN,5533.933710794616,52.49701955329202,7.564053693537957
Idaho,CovidActNow-SEIR_CAN,469.13898721472395,15.723239528453572,15.63518573911881
Illinois,CovidActNow-SEIR_CAN,105982.66230397925,272.34827215090115,3.983185967611777
