state,model,MSE,MAE,MAPE
District of Columbia,DDS-NBDS,130569.36054850357,314.0184474181975,678.5982767415717
Delaware,DDS-NBDS,378690.8409466931,545.4887663898946,929.4894858590419
Florida,DDS-NBDS,1533781598.5082312,33835.437390831736,468.57897540210377
Georgia,DDS-NBDS,213761730.4541626,12789.287007518951,359.6108591882313
Hawaii,DDS-NBDS,100002.39520508895,257.5500438839013,99.75513121910372
Iowa,DDS-NBDS,4836937.039385305,1916.8233537887136,297.41382400595216
Idaho,DDS-NBDS,29890195.61075441,4949.141016450464,1407.6782217523369
Illinois,DDS-NBDS,40731519.92582756,5458.785373315657,290.63064467032154
Indiana,DDS-NBDS,13020771.49378638,3030.969901813599,293.079094743438
Kansas,DDS-NBDS,4214707.7946989,1789.4980263729317,395.6732293015427
Kentucky,DDS-NBDS,30339849.939403422,4927.946591915263,751.7098928028951
Louisiana,DDS-NBDS,180544716.39722255,11751.713049526592,inf
Massachusetts,DDS-NBDS,2263783.859928542,1288.6829364690284,284.30787272310056
Maryland,DDS-NBDS,13173474.675641436,3133.9723332104822,382.6198877473453
Maine,DDS-NBDS,8608.20573130237,82.2156247527304,425.1100340505312
Michigan,DDS-NBDS,12484973.769914895,3021.557331989494,333.14523315276415
Minnesota,DDS-NBDS,10250117.997957986,2770.8188637061344,377.1235912307479
Missouri,DDS-NBDS,28197575.915058207,4473.545141043465,972.6546213058604
Mississippi,DDS-NBDS,23344306.803132474,4306.1391643221505,464.5755857855602
Montana,DDS-NBDS,333875.04576071864,486.6094210199119,400.6421110277539
North Carolina,DDS-NBDS,48223381.68312905,6046.803095441579,384.39889279609747
North Dakota,DDS-NBDS,426562.6771453253,566.618921248587,428.6892561328568
Nebraska,DDS-NBDS,1704651.8172388773,1160.5210359579655,575.4073680767862
New Hampshire,DDS-NBDS,20085.729512004385,126.515958276213,645.6795195151037
New Jersey,DDS-NBDS,2282723.460357667,1327.1960128875955,437.5149912939091
New Mexico,DDS-NBDS,2004126.2282339523,1260.6100739686349,848.4766932554467
Nevada,DDS-NBDS,21602964.858953588,4019.715927438562,457.50303247950666
New York,DDS-NBDS,7183024.182806715,2321.4958321956838,319.5250719021208
Ohio,DDS-NBDS,32819914.70748321,5073.864992806018,446.6859809806406
Oklahoma,DDS-NBDS,12592191.940936081,3043.7944164053865,338.9616873194776
Oregon,DDS-NBDS,1638374.4161331474,1117.2249361409183,290.14939513931927
Pennsylvania,DDS-NBDS,14615847.383914145,3357.9621728101565,459.38487286278837
Rhode Island,DDS-NBDS,202008.53798309423,420.66625165244704,inf
South Carolina,DDS-NBDS,43647720.80679806,5686.552153346402,495.69073829649716
South Dakota,DDS-NBDS,138144.705036102,319.52196364446775,327.1630938179131
Tennessee,DDS-NBDS,90682613.52753039,8422.865827654243,582.6656592958797
Texas,DDS-NBDS,1063127088.371956,28587.257958435024,429.7186609155689
Utah,DDS-NBDS,5086364.7884441735,1960.131009686496,532.942881875666
Virginia,DDS-NBDS,22489520.730904244,4139.728762031106,421.94084784624863
Vermont,DDS-NBDS,905.1693539336013,26.362423754341084,371.39363003266885
Washington,DDS-NBDS,9007391.688988382,2555.2919551038517,307.936341647061
Wisconsin,DDS-NBDS,15746931.762863316,3475.401009195808,380.5996572542249
West Virginia,DDS-NBDS,585043.2443069492,663.8532877164981,436.1659764684865
Wyoming,DDS-NBDS,51957.564890595066,196.76613785775692,724.0000421137281
US,CU-nochange,116756908203.16667,339331.5,688.5889955378507
Alaska,CU-nochange,317031.6666666667,500.6666666666667,615.0106921191258
Alabama,CU-nochange,67067020.666666664,8180.666666666667,610.4619528670473
Arkansas,CU-nochange,27110096.666666668,5194.0,inf
Arizona,CU-nochange,111365420.5,10091.166666666666,1051.8694498509565
California,CU-nochange,1962512705.5,42875.166666666664,810.5774290708405
Colorado,CU-nochange,5570781.333333333,2350.0,735.850476927043
Connecticut,CU-nochange,777569.8333333334,806.1666666666666,inf
District of Columbia,CU-nochange,132744.16666666666,344.8333333333333,810.0863821138213
Delaware,CU-nochange,237441.66666666666,484.3333333333333,861.737677527151
Florida,CU-nochange,1937030304.8333333,42390.833333333336,628.1298940181211
Georgia,CU-nochange,376087107.0,19381.666666666668,567.2216865256623
Hawaii,CU-nochange,823601.5,877.1666666666666,317.34134659666574
Iowa,CU-nochange,7025260.333333333,2644.6666666666665,361.5855786882682
Idaho,CU-nochange,7945332.0,2800.0,859.5578763341922
